Article,Product,Issue,CurrentURLSource,Retailer,CurrentURL
Best Monitor Arms,Fully Jarvis Monitor Arm,Non-Amazon link (protechprojection.com),affiliate-overrides.json,protechprojection.com,https://protechprojection.com/products/chief-ts318tu-swing-arm-display-mount?variant=44575853379780&msclkid=62db1451291e1609da4c7da2b8d5456b&utm_source=bing&utm_medium=cpc&utm_campaign=Shopify_Performance+Max+campaign+1&utm_term=2328353311750945&utm_content=ShopifyImportAssetGroup
Best Recovery Sandals,Birkenstock Arizona EVA,Non-Amazon link (birkenstock.com),affiliate-overrides.json,birkenstock.com,https://www.birkenstock.com/us/styles/arizona/?msclkid=254bb36c4f8416fcb6afda9f200a4365&utm_source=bing&utm_medium=cpc&utm_campaign=S_BR_STYLES-ARIZONA_BNG_US&utm_term=birkenstock%20arizona%20eva&utm_content=s_br_styles-arizona_ggl_us_eva
Best Recovery Sandals,Kane Revive,Non-Amazon link (kanefootwear.com),affiliate-overrides.json,kanefootwear.com,https://kanefootwear.com/products/revive-white-cream?tw_source=bing&tw_campaign=519918489&utm_term=1324913836281707&tw_adid=82807341428879&msclkid=454910665d7811fad97479953218fc2f&utm_source=bing&utm_medium=cpc&utm_campaign=Microsoft%20%7C%20Kane%20%7C%20Search%20%7C%20Brand%20%7C%20General%20%7C%20EN%20%7C%20US&utm_content=Brand
Best Road Shoe for Your First Marathon,ASICS Novablast 5,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=ASICS+Novablast+5&crid=23BFZ0U71GFE1&sprefix=asics+novablast+5%2Caps%2C185&linkCode=ll2&tag=phavai7311-20&linkId=078c46767845c29dcd6301a07a895285&language=en_US&ref_=as_li_ss_tl
Best Road Shoe for Your First Marathon,Brooks Ghost 17,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Brooks+Ghost+17&crid=YV4DT495U9QF&sprefix=brooks+ghost+17%2Caps%2C178&linkCode=ll2&tag=phavai7311-20&linkId=2cf98f2775e13cea47c2fd91324ec0a7&language=en_US&ref_=as_li_ss_tl
Best Road Shoe for Your First Marathon,Nike Pegasus 41,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Nike+Pegasus+41&crid=29HB8MO8IHGL2&sprefix=nike+pegasus+41%2Caps%2C164&linkCode=ll2&tag=phavai7311-20&linkId=5fff2df687ebdac11162bf465acb468c&language=en_US&ref_=as_li_ss_tl
Best Road Shoe for Your First Marathon,Saucony Ride 18,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Saucony+Ride+18&crid=2OEK490W8TSZ3&sprefix=saucony+ride+18%2Caps%2C162&linkCode=ll2&tag=phavai7311-20&linkId=a077c14c1a9383ed16a42817b2c59de9&language=en_US&ref_=as_li_ss_tl
Best Running Headphones,Jabra Elite 8 Active Gen 2,Non-Amazon link (walmart.com),affiliate-overrides.json,walmart.com,https://www.walmart.com/ip/Jabra-Elite-8-Active-Dark-Grey-True-Wireless-Earbuds-Gray/5008585972?wmlspartner=wlpa&selectedSellerId=102609760&adid=22222222222000000000&wmlspartner=wmtlabs&wl0=e&wl1=o&wl2=c&wl3=10352200394&wl4=pla-1103028060075:aud-821217196&wl5=68428&wl6=&wl7=&wl10=Walmart&wl11=Online&wl12=5008585972_10002629146&wl14=Jabra%20Elite%208%20Active%20Gen%202&veh=sem&msclkid=bc47fb94ae5f19b032b49267c4392bf7&gclid=bc47fb94ae5f19b032b49267c4392bf7&gclsrc=3p.ds
Best Running Vests,Patagonia Slope Runner Vest,Non-Amazon link (patagonia.com),affiliate-overrides.json,patagonia.com,https://www.patagonia.com/product/slope-runner-trail-running-vest/49521.html?dwvar_49521_color=NUVG&cgid=mens&storeID=20229
Best Standing Desks,FlexiSpot E7 Pro,Non-Amazon link (flexispot.com),affiliate-overrides.json,flexispot.com,https://www.flexispot.com/flexispot-best-standing-desk-e7pro?ref=category_products
Best Trail Running Poles,Gossamer Gear LT5,Non-Amazon link (gossamergear.com),affiliate-overrides.json,gossamergear.com,https://www.gossamergear.com/products/lt5-three-piece-carbon-trekking-poles-pair
Best Trail Shoes for 100 Miles,Brooks Cascadia 19,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Brooks+Cascadia+19&crid=2TU1WJTPT77XE&sprefix=brooks+cascadia+19%2Caps%2C220&linkCode=ll2&tag=phavai7311-20&linkId=26b31580ef5b422982bdb8d4da6f070a&language=en_US&ref_=as_li_ss_tl
Best Trail Shoes for 100 Miles,Topo Athletic Ultraventure 4,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Topo+Athletic+Ultraventure+4&crid=261AZLVJ0JT5K&sprefix=topo+athletic+ultraventure+4%2Caps%2C143&linkCode=ll2&tag=phavai7311-20&linkId=0c584816d0b931592963f1e79a926a83&language=en_US&ref_=as_li_ss_tl
Best Trail Shoes for Beginners,Brooks Cascadia 19,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Brooks+Cascadia+19&crid=2TU1WJTPT77XE&sprefix=brooks+cascadia+19%2Caps%2C220&linkCode=ll2&tag=phavai7311-20&linkId=26b31580ef5b422982bdb8d4da6f070a&language=en_US&ref_=as_li_ss_tl
Best Trail Shoes for Muddy Conditions,Inov-8 X-Talon Ultra 260 V2,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Inov-8+X-Talon+Ultra+260+V2&crid=3B1PANZVN3IM7&sprefix=inov-8+x-talon+ultra+260+v2%2Caps%2C171&linkCode=ll2&tag=phavai7311-20&linkId=81d42dda15ff8219f64c7fb2307320f2&language=en_US&ref_=as_li_ss_tl
Best Trail Shoes for Muddy Conditions,Salomon Speedcross 6,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Salomon+Speedcross+6&crid=9N7CSEB4H0MR&sprefix=salomon+speedcross+6%2Caps%2C328&linkCode=ll2&tag=phavai7311-20&linkId=2c06025c2d096a22d0f0e31659dcf2fe&language=en_US&ref_=as_li_ss_tl
Best Trail Shoes for Wide Feet,Altra Lone Peak 9,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Altra+Lone+Peak+9&crid=23XRL633BGTGQ&sprefix=altra+lone+peak+9%2Caps%2C303&linkCode=ll2&tag=phavai7311-20&linkId=ba77d4445639baad78be37b7fcfd39e5&language=en_US&ref_=as_li_ss_tl
Best Trail Shoes for Wide Feet,Brooks Cascadia 19,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Brooks+Cascadia+19&crid=2TU1WJTPT77XE&sprefix=brooks+cascadia+19%2Caps%2C220&linkCode=ll2&tag=phavai7311-20&linkId=26b31580ef5b422982bdb8d4da6f070a&language=en_US&ref_=as_li_ss_tl
Best Trail Shoes for Wide Feet,Topo Athletic Ultraventure 4,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Topo+Athletic+Ultraventure+4&crid=261AZLVJ0JT5K&sprefix=topo+athletic+ultraventure+4%2Caps%2C143&linkCode=ll2&tag=phavai7311-20&linkId=0c584816d0b931592963f1e79a926a83&language=en_US&ref_=as_li_ss_tl
Top 10 Most Comfortable Trail Shoes,Altra Lone Peak 9,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Altra+Lone+Peak+9&crid=23XRL633BGTGQ&sprefix=altra+lone+peak+9%2Caps%2C303&linkCode=ll2&tag=phavai7311-20&linkId=ba77d4445639baad78be37b7fcfd39e5&language=en_US&ref_=as_li_ss_tl
Top 10 Most Comfortable Trail Shoes,Brooks Caldera 8,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Brooks+Caldera+8&crid=2F65NOY72W76Z&sprefix=brooks+caldera+8%2Caps%2C215&linkCode=ll2&tag=phavai7311-20&linkId=f721b58555aed30b42c7635cfdf69e39&language=en_US&ref_=as_li_ss_tl
Top 10 Most Comfortable Trail Shoes,Brooks Cascadia 19,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Brooks+Cascadia+19&crid=2TU1WJTPT77XE&sprefix=brooks+cascadia+19%2Caps%2C220&linkCode=ll2&tag=phavai7311-20&linkId=26b31580ef5b422982bdb8d4da6f070a&language=en_US&ref_=as_li_ss_tl
Top 10 Most Comfortable Trail Shoes,Nike Zegama 2,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Nike+Zegama+2&crid=393TLXJNPJN2V&sprefix=nike+zegama+2%2Caps%2C519&linkCode=ll2&tag=phavai7311-20&linkId=54e2970ee12cefbce8d3cfb78d4ec4fe&language=en_US&ref_=as_li_ss_tl
Top 10 Most Comfortable Trail Shoes,Topo Athletic Ultraventure 4,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Topo+Athletic+Ultraventure+4&crid=261AZLVJ0JT5K&sprefix=topo+athletic+ultraventure+4%2Caps%2C143&linkCode=ll2&tag=phavai7311-20&linkId=0c584816d0b931592963f1e79a926a83&language=en_US&ref_=as_li_ss_tl
